trend_id,category,style,popularity_score,season,color_palette,fabric_type,price_range,brand_influence,social_media_trend
T0033,Shirt,Sporty,32,Winter,Neon,Silk,High-end,Local,Pinterest
T0034,Shoes,Formal,58,Winter,Earth-tone,Polyester,High-end,Luxury,Instagram
T0035,Shoes,Formal,17,Summer,Gradient,Silk,Affordable,Fast Fashion,Instagram
T0036,Shirt,Formal,35,Summer,Earth-tone,Denim,Affordable,Luxury,Pinterest
T0037,Pants,Casual,30,Spring,Gradient,Linen,High-end,Luxury,Instagram
T0038,Shirt,Casual,0,Winter,Gradient,Velvet,Affordable,Luxury,TikTok
T0039,Shirt,Vintage,69,Spring,Metallic,Cotton,Affordable,Fast Fashion,Pinterest
T0040,Shirt,Vintage,10,Winter,Pastel,Silk,Mid-range,Fast Fashion,TikTok
T0041,Pants,Bohemian,68,Autumn,Monochrome,Linen,Affordable,Local,Instagram
T0042,Shirt,Vintage,38,Spring,Pastel,Wool,Mid-range,Fast Fashion,Pinterest
T0043,Pants,Formal,90,Summer,Earth-tone,Silk,High-end,Luxury,YouTube
T0044,Shoes,Casual,7,Spring,Pastel,Linen,High-end,High-end,YouTube
T0045,Accessories,Streetwear,51,Summer,Neon,Silk,High-end,Luxury,Pinterest
T0046,Shoes,Casual,29,Spring,Metallic,Silk,High-end,Luxury,YouTube
T0047,Dress,Sporty,36,Winter,Pastel,Velvet,Mid-range,Local,Instagram
T0048,Dress,Minimalist,73,Spring,Pastel,Denim,High-end,Luxury,YouTube
T0049,Pants,Formal,8,Summer,Monochrome,Denim,Affordable,High-end,Pinterest
T0050,Dress,Minimalist,33,Spring,Earth-tone,Silk,Mid-range,Luxury,Pinterest
T0051,Shoes,Casual,76,Winter,Earth-tone,Wool,Affordable,Local,YouTube
T0052,Shirt,Vintage,44,Autumn,Neon,Wool,High-end,Luxury,Pinterest
T0053,Pants,Bohemian,15,Autumn,Monochrome,Polyester,Affordable,Luxury,YouTube
T0054,Shoes,Formal,97,Autumn,Monochrome,Velvet,Mid-range,High-end,Instagram
T0055,Dress,Casual,100,Winter,Neon,Velvet,High-end,Fast Fashion,Instagram
T0056,Dress,Casual,61,Summer,Earth-tone,Denim,Mid-range,Fast Fashion,YouTube
T0057,Shirt,Sporty,81,Autumn,Neon,Polyester,High-end,Local,YouTube
T0058,Pants,Streetwear,62,Autumn,Pastel,Cotton,Mid-range,Fast Fashion,Pinterest
T0059,Shirt,Bohemian,41,Summer,Gradient,Denim,Mid-range,Fast Fashion,Instagram
T0060,Pants,Sporty,99,Summer,Metallic,Velvet,Affordable,Luxury,Instagram
T0061,Pants,Bohemian,73,Autumn,Earth-tone,Silk,Affordable,Luxury,TikTok
T0062,Shirt,Vintage,89,Autumn,Gradient,Linen,High-end,High-end,Pinterest
T0063,Accessories,Minimalist,76,Winter,Gradient,Linen,High-end,Local,TikTok
T0064,Dress,Streetwear,88,Winter,Earth-tone,Cotton,High-end,Luxury,Pinterest
T0065,Accessories,Sporty,0,Autumn,Earth-tone,Wool,High-end,Fast Fashion,YouTube
T0066,Accessories,Bohemian,36,Spring,Neon,Velvet,Affordable,Fast Fashion,YouTube
T0067,Shoes,Streetwear,56,Spring,Metallic,Velvet,Affordable,Fast Fashion,TikTok
T0068,Shirt,Streetwear,46,Summer,Neon,Cotton,Affordable,High-end,Instagram
T0069,Pants,Casual,38,Autumn,Monochrome,Silk,Affordable,High-end,TikTok
T0070,Pants,Vintage,35,Winter,Earth-tone,Velvet,Affordable,Luxury,Pinterest
T0071,Accessories,Sporty,36,Winter,Earth-tone,Velvet,Affordable,Local,Pinterest
T0072,Accessories,Bohemian,8,Winter,Gradient,Cotton,High-end,Local,YouTube
T0073,Dress,Streetwear,73,Summer,Pastel,Velvet,High-end,Local,Instagram
T0074,Shoes,Vintage,91,Autumn,Pastel,Velvet,Mid-range,High-end,YouTube
T0075,Pants,Bohemian,59,Spring,Monochrome,Velvet,Mid-range,Fast Fashion,TikTok
T0076,Accessories,Sporty,43,Summer,Earth-tone,Denim,Affordable,Fast Fashion,YouTube
T0077,Shoes,Streetwear,10,Summer,Neon,Polyester,Mid-range,Local,Pinterest
T0078,Shoes,Casual,27,Winter,Neon,Polyester,Mid-range,Luxury,Instagram
T0079,Pants,Streetwear,31,Spring,Metallic,Polyester,Affordable,Local,Instagram
T0080,Pants,Formal,83,Summer,Gradient,Denim,Mid-range,High-end,Instagram
T0081,Accessories,Formal,47,Spring,Monochrome,Velvet,Mid-range,Luxury,TikTok
T0082,Shoes,Formal,19,Autumn,Pastel,Silk,High-end,Fast Fashion,Pinterest
T0083,Shirt,Sporty,3,Summer,Monochrome,Cotton,Mid-range,High-end,TikTok
T0084,Shirt,Formal,58,Summer,Earth-tone,Wool,Affordable,High-end,Instagram
T0085,Dress,Vintage,24,Summer,Gradient,Silk,High-end,Luxury,Pinterest
T0086,Dress,Sporty,24,Summer,Monochrome,Polyester,Mid-range,Fast Fashion,TikTok
T0087,Accessories,Formal,34,Summer,Earth-tone,Silk,Affordable,Local,YouTube
T0088,Pants,Casual,90,Winter,Neon,Linen,High-end,High-end,TikTok
T0089,Dress,Casual,12,Winter,Pastel,Velvet,Mid-range,Luxury,Instagram
T0090,Accessories,Minimalist,26,Summer,Monochrome,Wool,Mid-range,Fast Fashion,YouTube
T0091,Shoes,Minimalist,43,Autumn,Metallic,Silk,Affordable,High-end,Instagram
T0092,Shirt,Vintage,9,Winter,Metallic,Cotton,Mid-range,Local,Pinterest
T0093,Pants,Sporty,13,Winter,Neon,Cotton,Mid-range,Local,Instagram
T0094,Pants,Vintage,37,Spring,Metallic,Wool,Affordable,Local,YouTube
T0095,Dress,Sporty,14,Winter,Earth-tone,Silk,Mid-range,Fast Fashion,Pinterest
T0096,Shoes,Formal,58,Winter,Gradient,Polyester,High-end,Fast Fashion,YouTube
T0097,Shoes,Formal,84,Summer,Metallic,Silk,Affordable,Fast Fashion,Pinterest
T0098,Shirt,Formal,6,Summer,Gradient,Velvet,High-end,Local,Pinterest
T0099,Accessories,Sporty,35,Spring,Neon,Linen,Mid-range,Fast Fashion,Instagram
T0100,Accessories,Casual,32,Autumn,Neon,Silk,Mid-range,Fast Fashion,Instagram
T0101,Pants,Casual,94,Spring,Earth-tone,Polyester,High-end,Fast Fashion,TikTok
T0102,Shoes,Vintage,51,Autumn,Pastel,Silk,Affordable,Luxury,TikTok
T0103,Shirt,Formal,80,Autumn,Neon,Silk,High-end,High-end,Instagram
T0104,Dress,Streetwear,27,Autumn,Earth-tone,Wool,Mid-range,Fast Fashion,TikTok
T0105,Dress,Streetwear,26,Autumn,Monochrome,Wool,Affordable,Luxury,TikTok
T0106,Pants,Casual,2,Summer,Gradient,Wool,High-end,Luxury,YouTube
T0107,Dress,Casual,17,Autumn,Earth-tone,Wool,Mid-range,Fast Fashion,Instagram
T0108,Pants,Casual,91,Spring,Monochrome,Wool,High-end,High-end,Instagram
T0109,Shirt,Vintage,19,Summer,Earth-tone,Silk,High-end,Fast Fashion,TikTok
T0110,Pants,Bohemian,28,Winter,Pastel,Polyester,Mid-range,Fast Fashion,Pinterest
T0111,Shoes,Casual,86,Spring,Gradient,Velvet,Mid-range,Local,TikTok
T0112,Shoes,Formal,37,Autumn,Gradient,Velvet,Affordable,Fast Fashion,Instagram
T0113,Accessories,Sporty,25,Autumn,Earth-tone,Cotton,Mid-range,Luxury,Pinterest
T0114,Pants,Formal,63,Autumn,Metallic,Polyester,Affordable,Luxury,Pinterest
T0115,Shoes,Formal,28,Winter,Gradient,Cotton,Affordable,Luxury,TikTok
T0116,Accessories,Streetwear,96,Spring,Earth-tone,Silk,Affordable,Luxury,YouTube
T0117,Pants,Minimalist,23,Summer,Gradient,Linen,Affordable,Luxury,TikTok
T0118,Pants,Streetwear,48,Autumn,Pastel,Wool,Affordable,Local,Pinterest
T0119,Dress,Sporty,89,Spring,Monochrome,Wool,Affordable,High-end,Pinterest
T0120,Shoes,Sporty,62,Spring,Pastel,Velvet,Mid-range,High-end,Instagram
T0121,Pants,Minimalist,81,Autumn,Pastel,Silk,Affordable,Local,Pinterest
T0122,Dress,Vintage,52,Spring,Earth-tone,Polyester,Mid-range,Fast Fashion,YouTube
T0123,Shoes,Streetwear,68,Autumn,Metallic,Silk,High-end,Fast Fashion,TikTok
T0124,Pants,Formal,46,Summer,Gradient,Polyester,Mid-range,Luxury,Pinterest
T0125,Accessories,Streetwear,67,Spring,Neon,Velvet,Affordable,Luxury,YouTube
T0126,Shoes,Vintage,23,Summer,Pastel,Cotton,Affordable,Local,Pinterest
T0127,Shirt,Streetwear,5,Autumn,Gradient,Linen,Affordable,Luxury,TikTok
T0128,Dress,Streetwear,87,Spring,Neon,Polyester,Affordable,Fast Fashion,Instagram
T0129,Pants,Bohemian,77,Autumn,Gradient,Silk,High-end,Local,Instagram
T0130,Dress,Vintage,99,Spring,Pastel,Cotton,Affordable,High-end,TikTok
T0131,Shirt,Streetwear,8,Spring,Metallic,Polyester,Affordable,Fast Fashion,Instagram
T0132,Accessories,Streetwear,40,Spring,Gradient,Cotton,High-end,Luxury,YouTube
T0133,Shirt,Bohemian,48,Summer,Pastel,Wool,High-end,High-end,TikTok
T0134,Shoes,Minimalist,14,Winter,Metallic,Polyester,High-end,High-end,Instagram
T0135,Shoes,Formal,51,Autumn,Gradient,Velvet,Affordable,Luxury,Pinterest
T0136,Dress,Formal,87,Summer,Neon,Silk,Mid-range,Fast Fashion,TikTok
T0137,Accessories,Vintage,77,Spring,Monochrome,Linen,Affordable,Luxury,Pinterest
T0138,Shoes,Sporty,85,Winter,Metallic,Wool,Mid-range,Fast Fashion,Pinterest
T0139,Shoes,Bohemian,9,Spring,Metallic,Polyester,Affordable,Luxury,TikTok
T0140,Shoes,Sporty,47,Autumn,Neon,Denim,Mid-range,Luxury,Pinterest
T0141,Accessories,Sporty,90,Spring,Earth-tone,Wool,Affordable,High-end,TikTok
T0142,Shirt,Casual,65,Spring,Gradient,Cotton,Affordable,Local,Instagram
T0143,Pants,Bohemian,3,Summer,Gradient,Denim,Affordable,Local,Instagram
T0144,Shoes,Minimalist,71,Autumn,Earth-tone,Silk,Mid-range,Fast Fashion,Instagram
T0145,Shoes,Formal,99,Autumn,Monochrome,Polyester,Affordable,Luxury,Instagram
T0146,Pants,Sporty,89,Summer,Pastel,Cotton,High-end,High-end,Pinterest
T0147,Pants,Vintage,42,Winter,Earth-tone,Wool,Mid-range,Fast Fashion,TikTok
T0148,Shoes,Vintage,2,Autumn,Monochrome,Wool,Mid-range,Local,TikTok
T0149,Shoes,Casual,89,Spring,Metallic,Denim,High-end,Fast Fashion,Pinterest
T0150,Accessories,Casual,6,Autumn,Monochrome,Velvet,High-end,Luxury,Pinterest
T0151,Shoes,Sporty,29,Summer,Earth-tone,Polyester,High-end,High-end,Pinterest
T0152,Accessories,Casual,97,Summer,Neon,Polyester,Mid-range,Fast Fashion,TikTok
T0153,Accessories,Minimalist,57,Summer,Pastel,Linen,High-end,Luxury,Instagram
T0154,Pants,Bohemian,100,Autumn,Metallic,Velvet,High-end,High-end,Instagram
T0155,Accessories,Casual,47,Summer,Metallic,Cotton,High-end,Fast Fashion,YouTube
T0156,Shoes,Minimalist,48,Summer,Earth-tone,Velvet,Mid-range,Local,TikTok
T0157,Accessories,Vintage,28,Spring,Monochrome,Cotton,High-end,Local,Instagram
T0158,Shoes,Streetwear,63,Autumn,Monochrome,Linen,Mid-range,High-end,TikTok
T0159,Shirt,Vintage,56,Winter,Earth-tone,Polyester,Affordable,Luxury,TikTok
T0160,Shirt,Bohemian,42,Winter,Gradient,Wool,Affordable,High-end,TikTok
T0161,Pants,Formal,33,Summer,Monochrome,Linen,Affordable,Local,Instagram
T0162,Shirt,Sporty,65,Autumn,Monochrome,Silk,Mid-range,Local,Pinterest
T0163,Accessories,Vintage,69,Autumn,Monochrome,Cotton,Mid-range,Luxury,Instagram
T0164,Accessories,Casual,64,Winter,Neon,Velvet,Mid-range,Fast Fashion,Instagram
T0165,Accessories,Formal,49,Summer,Pastel,Polyester,Mid-range,Local,TikTok
T0166,Shirt,Vintage,30,Winter,Neon,Velvet,Affordable,High-end,TikTok
T0167,Dress,Sporty,79,Winter,Neon,Denim,Affordable,Fast Fashion,TikTok
T0168,Shoes,Sporty,99,Spring,Pastel,Denim,Mid-range,Fast Fashion,TikTok
T0169,Shirt,Vintage,54,Autumn,Neon,Linen,Mid-range,Luxury,TikTok
T0170,Shoes,Bohemian,22,Autumn,Gradient,Velvet,High-end,Fast Fashion,Instagram
T0171,Dress,Vintage,83,Autumn,Earth-tone,Linen,High-end,Luxury,Instagram
T0172,Shoes,Minimalist,66,Summer,Earth-tone,Denim,Mid-range,High-end,YouTube
T0173,Pants,Vintage,37,Winter,Earth-tone,Silk,Mid-range,Fast Fashion,TikTok
T0174,Pants,Sporty,63,Autumn,Monochrome,Velvet,Mid-range,High-end,Pinterest
T0175,Pants,Minimalist,81,Autumn,Monochrome,Polyester,High-end,Local,YouTube
T0176,Dress,Bohemian,59,Winter,Earth-tone,Linen,High-end,Local,Instagram
T0177,Pants,Bohemian,41,Spring,Neon,Denim,High-end,Fast Fashion,Instagram
T0178,Pants,Bohemian,89,Summer,Pastel,Velvet,Mid-range,Fast Fashion,Pinterest
T0179,Accessories,Minimalist,70,Winter,Earth-tone,Linen,High-end,Luxury,Pinterest
T0180,Pants,Streetwear,7,Summer,Metallic,Denim,Mid-range,Fast Fashion,TikTok
T0181,Shoes,Bohemian,14,Spring,Pastel,Wool,Mid-range,High-end,Pinterest
T0182,Dress,Streetwear,77,Autumn,Metallic,Velvet,Mid-range,High-end,Pinterest
T0183,Shirt,Minimalist,50,Autumn,Metallic,Wool,Mid-range,Local,Instagram
T0184,Dress,Minimalist,7,Spring,Neon,Denim,Affordable,Fast Fashion,TikTok
T0185,Dress,Bohemian,41,Winter,Metallic,Polyester,Mid-range,Luxury,Pinterest
T0186,Dress,Bohemian,100,Spring,Gradient,Velvet,Mid-range,Fast Fashion,Instagram
T0187,Pants,Casual,83,Summer,Earth-tone,Linen,High-end,High-end,TikTok
T0188,Shirt,Sporty,36,Summer,Earth-tone,Denim,Mid-range,Local,YouTube
T0189,Dress,Casual,29,Summer,Neon,Linen,Affordable,Local,TikTok
T0190,Accessories,Streetwear,12,Autumn,Gradient,Cotton,Affordable,High-end,Instagram
T0191,Accessories,Formal,93,Winter,Metallic,Wool,High-end,Fast Fashion,YouTube
T0192,Accessories,Streetwear,14,Spring,Gradient,Silk,Mid-range,Local,YouTube
T0193,Dress,Bohemian,86,Autumn,Metallic,Linen,Affordable,Local,Instagram
T0194,Dress,Vintage,50,Spring,Earth-tone,Linen,Mid-range,High-end,Pinterest
T0195,Shoes,Bohemian,23,Summer,Monochrome,Wool,Mid-range,Fast Fashion,YouTube
T0196,Dress,Casual,27,Winter,Earth-tone,Linen,High-end,Luxury,Pinterest
T0197,Dress,Vintage,79,Autumn,Earth-tone,Denim,Mid-range,Fast Fashion,Pinterest
T0198,Shoes,Vintage,97,Summer,Monochrome,Denim,Affordable,Fast Fashion,Pinterest
T0199,Pants,Formal,43,Winter,Neon,Velvet,High-end,High-end,Instagram
T0200,Pants,Bohemian,5,Winter,Pastel,Linen,Affordable,Luxury,Instagram
T0201,Shoes,Bohemian,98,Winter,Pastel,Wool,High-end,Fast Fashion,Pinterest
T0202,Pants,Vintage,1,Autumn,Earth-tone,Cotton,Mid-range,Luxury,YouTube
T0203,Dress,Formal,1,Winter,Monochrome,Silk,Affordable,Local,Instagram
T0204,Dress,Sporty,11,Winter,Metallic,Linen,High-end,Local,TikTok
T0205,Accessories,Vintage,44,Spring,Pastel,Cotton,Affordable,Local,TikTok
T0206,Dress,Vintage,90,Autumn,Gradient,Silk,High-end,Fast Fashion,Instagram
T0207,Shoes,Formal,72,Winter,Earth-tone,Wool,High-end,Local,Pinterest
T0208,Shoes,Minimalist,92,Spring,Pastel,Linen,High-end,Luxury,Instagram
T0209,Pants,Sporty,36,Spring,Pastel,Linen,Affordable,Luxury,Pinterest
T0210,Shoes,Streetwear,38,Autumn,Monochrome,Velvet,High-end,Luxury,TikTok
T0211,Accessories,Bohemian,9,Summer,Gradient,Silk,High-end,Luxury,TikTok
T0212,Shoes,Casual,78,Spring,Earth-tone,Cotton,High-end,Luxury,TikTok
T0213,Accessories,Formal,50,Spring,Monochrome,Silk,Affordable,Local,YouTube
T0214,Shoes,Streetwear,13,Spring,Earth-tone,Cotton,Mid-range,Luxury,Pinterest
T0215,Shirt,Minimalist,87,Summer,Earth-tone,Denim,Mid-range,High-end,TikTok
T0216,Dress,Sporty,2,Autumn,Neon,Silk,Affordable,Local,YouTube
T0217,Dress,Bohemian,51,Autumn,Metallic,Polyester,Mid-range,High-end,Instagram
T0218,Pants,Vintage,77,Winter,Gradient,Denim,High-end,High-end,YouTube
T0219,Pants,Minimalist,23,Autumn,Metallic,Velvet,Affordable,Luxury,YouTube
T0220,Accessories,Formal,48,Summer,Earth-tone,Linen,Affordable,High-end,TikTok
T0221,Pants,Bohemian,4,Winter,Pastel,Silk,High-end,Local,Instagram
T0222,Shirt,Casual,47,Autumn,Monochrome,Linen,Affordable,High-end,TikTok
T0223,Shoes,Sporty,70,Winter,Metallic,Linen,High-end,Local,TikTok
T0224,Shoes,Vintage,59,Summer,Gradient,Silk,Affordable,Local,Instagram
T0225,Accessories,Vintage,0,Spring,Neon,Silk,Affordable,Local,YouTube
T0226,Dress,Formal,5,Summer,Pastel,Silk,Mid-range,Local,TikTok
T0227,Accessories,Vintage,24,Summer,Monochrome,Linen,High-end,High-end,YouTube
T0228,Pants,Bohemian,55,Spring,Monochrome,Velvet,Affordable,Luxury,YouTube
T0229,Accessories,Minimalist,12,Spring,Neon,Polyester,Affordable,Luxury,Pinterest
T0230,Pants,Formal,86,Winter,Monochrome,Denim,Affordable,High-end,Pinterest
T0231,Pants,Vintage,30,Spring,Pastel,Polyester,Mid-range,Local,YouTube
T0232,Accessories,Minimalist,49,Winter,Monochrome,Silk,Affordable,Luxury,Pinterest
T0233,Pants,Formal,57,Winter,Earth-tone,Silk,Affordable,Luxury,Instagram
T0234,Shoes,Formal,31,Autumn,Earth-tone,Silk,High-end,Luxury,YouTube
T0235,Dress,Sporty,5,Spring,Monochrome,Velvet,Mid-range,High-end,Instagram
T0236,Dress,Casual,1,Summer,Neon,Silk,High-end,Luxury,Instagram
T0237,Shoes,Streetwear,39,Summer,Pastel,Cotton,Mid-range,Luxury,TikTok
T0238,Shirt,Minimalist,55,Spring,Neon,Cotton,Mid-range,High-end,Pinterest
T0239,Shoes,Bohemian,11,Spring,Pastel,Silk,Mid-range,Fast Fashion,YouTube
T0240,Pants,Formal,27,Spring,Monochrome,Linen,Affordable,Local,YouTube
T0241,Shirt,Streetwear,19,Winter,Neon,Polyester,Affordable,Fast Fashion,Instagram
T0242,Pants,Streetwear,67,Winter,Earth-tone,Velvet,Mid-range,Fast Fashion,Pinterest
T0243,Shoes,Minimalist,96,Autumn,Neon,Velvet,High-end,Fast Fashion,TikTok
T0244,Accessories,Bohemian,69,Autumn,Metallic,Polyester,High-end,Fast Fashion,TikTok
T0245,Shoes,Casual,87,Autumn,Metallic,Cotton,High-end,Fast Fashion,YouTube
T0246,Dress,Bohemian,46,Spring,Neon,Cotton,High-end,Local,YouTube
T0247,Dress,Vintage,32,Autumn,Monochrome,Denim,High-end,Luxury,Pinterest
T0248,Shirt,Minimalist,99,Summer,Earth-tone,Polyester,Mid-range,Local,YouTube
T0249,Dress,Vintage,33,Summer,Earth-tone,Denim,High-end,Luxury,TikTok
T0250,Pants,Sporty,68,Summer,Monochrome,Polyester,High-end,High-end,Pinterest
T0251,Shoes,Streetwear,100,Summer,Monochrome,Wool,High-end,Fast Fashion,TikTok
T0252,Pants,Streetwear,89,Autumn,Gradient,Denim,Affordable,Luxury,YouTube
T0253,Dress,Bohemian,88,Winter,Gradient,Cotton,Affordable,High-end,YouTube
T0254,Shirt,Formal,59,Autumn,Metallic,Denim,Mid-range,Luxury,Instagram
T0255,Pants,Bohemian,16,Winter,Metallic,Silk,Mid-range,High-end,Instagram
T0256,Dress,Casual,8,Winter,Earth-tone,Silk,High-end,Luxury,Pinterest
T0257,Pants,Minimalist,65,Summer,Gradient,Denim,Mid-range,High-end,Instagram
T0258,Pants,Streetwear,12,Autumn,Earth-tone,Polyester,Affordable,Fast Fashion,TikTok
T0259,Shoes,Streetwear,60,Summer,Neon,Polyester,High-end,Luxury,Pinterest
T0260,Accessories,Bohemian,93,Autumn,Earth-tone,Velvet,Affordable,High-end,Pinterest
T0261,Accessories,Bohemian,31,Summer,Pastel,Polyester,High-end,Local,YouTube
T0262,Shirt,Bohemian,64,Spring,Earth-tone,Polyester,High-end,Fast Fashion,YouTube
T0263,Dress,Sporty,76,Autumn,Metallic,Cotton,High-end,High-end,Instagram
T0264,Pants,Minimalist,51,Spring,Earth-tone,Denim,High-end,Luxury,Instagram
T0265,Pants,Bohemian,100,Summer,Pastel,Cotton,Mid-range,High-end,Pinterest
T0266,Shirt,Formal,95,Summer,Pastel,Cotton,Affordable,Fast Fashion,TikTok
T0267,Pants,Formal,76,Summer,Gradient,Linen,Mid-range,High-end,TikTok
T0268,Pants,Formal,18,Spring,Earth-tone,Polyester,Affordable,Luxury,TikTok
T0269,Shoes,Minimalist,4,Summer,Monochrome,Velvet,High-end,High-end,TikTok
T0270,Accessories,Bohemian,82,Summer,Earth-tone,Wool,Affordable,Fast Fashion,Pinterest
T0271,Dress,Bohemian,72,Winter,Earth-tone,Velvet,Affordable,High-end,Instagram
T0272,Pants,Casual,16,Winter,Pastel,Linen,Mid-range,Fast Fashion,Pinterest
T0273,Accessories,Formal,96,Autumn,Neon,Cotton,Affordable,High-end,YouTube
T0274,Pants,Formal,0,Winter,Pastel,Denim,Mid-range,Luxury,Instagram
T0275,Shirt,Sporty,86,Autumn,Neon,Silk,Affordable,Luxury,YouTube
T0276,Shirt,Streetwear,86,Spring,Pastel,Silk,High-end,High-end,YouTube
T0277,Shirt,Streetwear,49,Winter,Neon,Velvet,Affordable,Local,YouTube
T0278,Shirt,Streetwear,84,Autumn,Monochrome,Wool,High-end,Fast Fashion,Pinterest
T0279,Pants,Vintage,45,Summer,Earth-tone,Wool,Affordable,High-end,Instagram
T0280,Dress,Casual,1,Spring,Neon,Cotton,High-end,Fast Fashion,YouTube
T0281,Shirt,Bohemian,16,Summer,Neon,Denim,Mid-range,Fast Fashion,Pinterest
T0282,Pants,Vintage,98,Spring,Earth-tone,Polyester,Mid-range,Fast Fashion,YouTube
T0283,Pants,Sporty,29,Winter,Gradient,Velvet,High-end,Local,TikTok
T0284,Shirt,Minimalist,53,Winter,Neon,Linen,Mid-range,Fast Fashion,Pinterest
T0285,Dress,Streetwear,36,Autumn,Gradient,Wool,High-end,Local,Instagram
T0286,Accessories,Bohemian,27,Spring,Gradient,Velvet,Affordable,Local,Pinterest
T0287,Pants,Formal,94,Summer,Earth-tone,Linen,High-end,Luxury,Pinterest
T0288,Accessories,Formal,96,Winter,Monochrome,Cotton,High-end,High-end,YouTube
T0289,Dress,Streetwear,22,Summer,Earth-tone,Polyester,Mid-range,Fast Fashion,YouTube
T0290,Shirt,Vintage,47,Winter,Monochrome,Cotton,High-end,High-end,Pinterest
T0291,Accessories,Vintage,12,Summer,Metallic,Denim,High-end,High-end,YouTube
T0292,Shirt,Vintage,3,Winter,Neon,Linen,High-end,High-end,TikTok
T0293,Dress,Minimalist,18,Autumn,Pastel,Polyester,High-end,Luxury,YouTube
T0294,Shoes,Casual,32,Autumn,Pastel,Polyester,Mid-range,Luxury,Instagram
T0295,Pants,Bohemian,67,Spring,Monochrome,Velvet,High-end,Local,YouTube
T0296,Accessories,Minimalist,96,Autumn,Pastel,Cotton,High-end,Luxury,Instagram
T0297,Accessories,Casual,72,Winter,Metallic,Polyester,High-end,Fast Fashion,Instagram
T0298,Dress,Sporty,84,Winter,Monochrome,Silk,Affordable,Local,YouTube
T0299,Accessories,Streetwear,87,Winter,Monochrome,Denim,High-end,Local,TikTok
T0300,Pants,Streetwear,75,Summer,Earth-tone,Velvet,Affordable,Local,TikTok
T0301,Dress,Casual,67,Summer,Metallic,Denim,High-end,Fast Fashion,Instagram
T0302,Pants,Casual,99,Autumn,Monochrome,Linen,Mid-range,Local,Instagram
T0303,Shoes,Formal,28,Winter,Neon,Wool,Mid-range,Local,Instagram
T0304,Dress,Casual,48,Winter,Earth-tone,Polyester,High-end,High-end,Instagram
T0305,Pants,Bohemian,66,Summer,Earth-tone,Velvet,High-end,High-end,Pinterest
T0306,Shoes,Bohemian,17,Summer,Gradient,Cotton,High-end,Luxury,YouTube
T0307,Pants,Formal,64,Winter,Neon,Wool,High-end,High-end,TikTok
T0308,Shoes,Streetwear,12,Autumn,Earth-tone,Cotton,Affordable,Luxury,Instagram
